name,description,order,id,created_date,updated_date,created_by_id,created_by,is_sample
"Time off","Scheduled time off of team members.","17","69c2845551ce47780208e400","2026-03-24T12:32:21.346000","2026-03-24T12:32:21.346000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Product | Store","","16","69b14f1148aad4e55eb09290","2026-03-11T11:16:33.633000","2026-03-11T11:16:33.633000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Product | Analytics & Reporting","","15","69b14f11147cb30b76a38aa0","2026-03-11T11:16:33.103000","2026-03-11T11:16:33.103000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"New Opportunities","","14","69b14f10f475e8411bfce8cd","2026-03-11T11:16:32.570000","2026-03-11T11:16:32.570000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"PM Internal","","13","69b14f10c93c71eaf4640522","2026-03-11T11:16:32.043000","2026-03-11T11:16:32.043000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Capability","","12","69b14f0f2fcb457ae1885947","2026-03-11T11:16:31.553000","2026-03-11T11:16:31.553000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Tech Roadmap","","11","69b14f0fb54deb0124919579","2026-03-11T11:16:31.049000","2026-03-11T11:16:31.049000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Product | Baseline-App","","10","69b14f0eb6104e35cef79b43","2026-03-11T11:16:30.589000","2026-03-11T11:16:30.589000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Strategy","","9","69b14f0e45862f6735c7bd68","2026-03-11T11:16:30.112000","2026-03-11T11:16:30.112000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Product | Bragi-app","","8","69b14f0d59505c7acb67f893","2026-03-11T11:16:29.595000","2026-03-11T11:16:29.595000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Product | AppKit","","7","69b14f0dffe5a576322e98fc","2026-03-11T11:16:29.149000","2026-03-11T11:16:29.149000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Feature","","6","69b14f0cc41d9175dd1b9e6e","2026-03-11T11:16:28.681000","2026-03-11T11:16:28.681000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Roadmap Initiative","","5","69b14f0c4877db051d642e4d","2026-03-11T11:16:28.115000","2026-03-11T11:16:28.115000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Product | Customer Release","","4","69b14f0b6c1b605b228e3316","2026-03-11T11:16:27.645000","2026-03-11T11:16:27.645000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Product | Bragi-DX/CX-Suite","","3","69b14f0bda34945f506de8f8","2026-03-11T11:16:27.186000","2026-03-11T11:16:27.186000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Product | Customer","","2","69b14f0a8a8279417a742014","2026-03-11T11:16:26.704000","2026-03-11T11:16:26.704000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Product | Platform","","1","69b14f0a4aab091491f7e4ca","2026-03-11T11:16:26.110000","2026-03-11T11:16:26.110000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"Audio App","","0","69b14f09fb56d3cb2932d28d","2026-03-11T11:16:25.666000","2026-03-11T11:16:25.666000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
