supporting_team_ids,leading_team_id,color,is_cross_team,name,jira_key,jira_status,linked_epic_keys,type,jira_progress,last_synced,prod_id,id,created_date,updated_date,created_by_id,created_by,is_sample
"[""69aff2f04b4fb2a08f82c193""]","69aff2f04b4fb2a08f82c193","blue","false","Meet AI - Teams by Microsoft v1","","","[]","Audio App","0","","PROD-215","69c4fad7d2a34fc607ce313c","2026-03-26T09:22:31.754000","2026-03-26T09:22:31.754000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"[""69b119dae2f92006c4346e61"",""69aff3c2522f033339b5d0d6""]","69aff3c2522f033339b5d0d6","teal","false","Bragi AI | Baseline | Onboarding UX |  App Clips ""Frictionless Pairing""","","","[]","Product | Baseline-App","0","","PROD-219","69c4fad7efff5ca3bf1208a9","2026-03-26T09:22:31.125000","2026-03-26T09:22:31.125000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"[""69aff3c2522f033339b5d0d6"",""69aff2f04b4fb2a08f82c193""]","69b119d6b705fe95e0c67bcf","pink","false","QCC | MVP of ""Bragi AI Custom"" for QCC S7 (Retail AI / HP)","","","[]","Product | Platform","0","","PROD-232","69c4fad6d0c8ed3145e708d3","2026-03-26T09:22:30.656000","2026-03-26T09:22:30.656000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"[""69aff2f04b4fb2a08f82c192""]","69aff3c2522f033339b5d0d6","orange","false","App without connected headphone (use smartphone mic and speaker)","","","[]","Product | Baseline-App","0","","PROD-249","69c4fad668fd77b36b1db9e4","2026-03-26T09:22:30.187000","2026-03-26T09:22:30.187000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"[""69aff2f04b4fb2a08f82c193""]","69aff2f04b4fb2a08f82c193","purple","false","Meeting Audio App","","","[]","Audio App","0","","PROD-268","69c4fad5b158941456e09017","2026-03-26T09:22:29.435000","2026-03-26T09:22:29.435000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"[""69b119dae2f92006c4346e61"",""69aff3c2522f033339b5d0d6""]","69aff2f04b4fb2a08f82c191","green","false","‼️ Bose BMAP integration with Bragi mSDK (for Bose Leo)","","","[]","New Opportunities","0","","PROD-307","69c4fad443a3f7fc62994eef","2026-03-26T09:22:28.980000","2026-03-26T09:22:28.980000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"[""69aff2f04b4fb2a08f82c192""]","69aff2f04b4fb2a08f82c193","blue","false","Trigger: Head gesture detected (noding, shaking) AB1585","","","[]","Capability","0","","PROD-344","69c4fad44c72ad01019f1806","2026-03-26T09:22:28.481000","2026-03-26T09:22:28.481000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"[""69aff2f04b4fb2a08f82c192""]","69aff2f04b4fb2a08f82c193","teal","false","Emotion detection for Strava Audio App","","","[]","Capability","0","","PROD-346","69c4fad3d855d6a9a9cf36c7","2026-03-26T09:22:27.981000","2026-03-26T09:22:27.981000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"[""69aff2f04b4fb2a08f82c192""]","69aff3c2522f033339b5d0d6","pink","false","Discovery | Tech foundation for GPT-powered services","","","[]","Product | Baseline-App","0","","PROD-359","69c4fad3bbea7d76eb1091f5","2026-03-26T09:22:27.272000","2026-03-26T09:22:27.272000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
"[]","69aff3c2522f033339b5d0d6","orange","false","Bragi CX/DX Suite | Alpha | Bragi AI experiences management ","","","[]","Product | Bragi-DX/CX-Suite","0","","PROD-374","69c4fad268fd77b36b1db9e2","2026-03-26T09:22:26.774000","2026-03-26T09:22:26.774000","69aff1e4245700ed2a34287c","benjamin.spiss@gmail.com","false"
